id,secondary_id,subject,publish_date,is_imported,email_type
d3ffffa2-8509-4c6b-9dc5-4033171423bf,1,"Self-Driving Cars and Social Interaction (Across the Sundering Seas, #1)",2019-01-26 18:45:16.897923+00:00,False,public
b41c8ea6-9021-45d3-b42f-3bcb6f890475,2,"Have We Already Lost?  (Across the Sundering Seas, #2)",2019-02-02 23:21:03.424431+00:00,False,public
6ce7b800-a60c-4f93-93e2-12939a256f08,3,"Mental Landslides. Book Reviews. Oligopolies.  (Across the Sundering Seas, #3)",2019-02-10 03:24:57.437752+00:00,False,public
54a1e7ac-4f39-40f5-8236-2d7f14f5961d,4,"The Escalator From Hell (Across the Sundering Seas, #4)",2019-02-16 19:55:35.829023+00:00,False,public
d811135a-af34-4b7f-a9b2-a74db7633885,5,"Tech Tyranny, Racism & Heresy, Gender in Video Games, and History on Wikipedia (Across the Sundering Seas, #5)",2019-02-23 22:46:39.581668+00:00,False,public
59365259-0e5b-4e07-8e09-90e0d60f71e4,6,"Paying More and Better Attention (Across the Sundering Seas, #6)",2019-03-03 03:40:26.241593+00:00,False,public
8f3ac71f-75a6-4d36-bf57-af584c05bbf4,7,"“While They Live” (Across the Sundering Seas, #7)",2019-03-10 19:38:32.127017+00:00,False,public
41c903c1-71cd-4a43-a9c9-a55a51dae41a,8,"Social media, remote work, and vocation (Across the Sundering Seas, #8)",2019-03-23 22:23:14.438035+00:00,False,public
bc0fb4a3-e2bb-417b-be49-fb1629cab226,9,"Viruses, power, art, and journalism (Across the Sundering Seas, #9)",2019-03-30 16:00:00+00:00,False,public
2f8a7099-e483-40b9-94e6-0f6e488cdfae,10,"“The Slow Web” and the limits of “solutions” (Across the Sundering Seas, #10)",2019-04-07 18:59:18.042604+00:00,False,public
91b134b7-d7ab-4ea3-8219-e4f1e357bc62,11,"Regulation, an independent scholar, the semantic web, and SCALE (Across the Sundering Seas, #11)",2019-04-14 00:49:53.755910+00:00,False,public
33c1c5f4-d1bb-474a-a5b8-92576eaece06,12,"Wage Subsidies and Public Theology (Across the Sundering Seas, #12)",2019-04-21 02:28:35.410773+00:00,False,public
c9c8bd09-1a3c-4df1-86ff-89f916328aff,13,"Confronted by weakness; social media monastics (Across the Sundering Seas, #13)",2019-04-27 15:29:33.821321+00:00,False,public
0500009e-700a-4074-94de-d6bb5d4f76c6,14,"rewrite project, a short life of Gene Wolfe, and depolarization (Across the Sundering Seas, #14)",2019-05-04 20:40:06.448990+00:00,False,public
ae45ee05-f154-412a-b8af-b2f5e1dc9eaa,15,"Convenience; ‘Gamer Girls’; Fertility; Neoliberalism (Across the Sundering Seas, #15)",2019-05-13 17:41:23.005211+00:00,False,public
ae61d1ab-9d4d-4d36-9d51-2c8b80eb4845,16,"Learning and thinking and writing (sometimes in public) (Across the Sundering Seas, #16)",2019-05-18 16:58:10.638915+00:00,False,public
17164342-034c-4879-912b-905e6d3516b5,17,"Finishing things on the internet (Across the Sundering Seas, #17)",2019-05-28 03:34:54.762279+00:00,False,public
c3a2c751-b71d-45ba-a2fa-4f873f0efec9,18,"A vacation and a birthday 🏝 (Across the Sundering Seas, #18)",2019-06-04 11:26:49.084349+00:00,False,public
